Unit Postcode,All usual residents,Males,Females,Households
BT5 4GU,9,6,3,6
BT5 4GW,27,13,14,11
BT5 4GX,22,10,12,13
BT5 4GY,11,7,4,9
BT5 4HA,25,11,14,13
BT5 4HE,37,21,16,23
BT5 4HG,34,17,17,21
BT5 4HL,26,11,15,13
BT5 4HN,53,27,26,36
BT5 4HP,60,34,26,30
BT5 4HQ,60,26,34,35
BT5 4HR,62,30,32,37
BT5 4HS,32,16,16,18
BT5 4HT,88,44,44,45
BT5 4HW,32,14,18,15
BT5 4HX,91,41,50,45
BT5 4HY,35,13,22,14
BT5 4JA,57,30,27,25
BT5 4JE,40,22,18,24
BT5 4JF,13,4,9,10
BT5 4JH,38,21,17,20
BT5 4JJ,22,10,12,14
BT5 4JL,48,23,25,24
BT5 4JY,8,3,5,5
BT5 4JZ,13,6,7,7
BT5 4LA,60,29,31,20
BT5 4LF,29,15,14,13
BT5 4LG,52,29,23,23
BT5 4LN,13,5,8,5
BT5 4LP,56,21,35,22
BT5 4LQ,*,*,*,*
BT5 4LS,56,27,29,26
BT5 4LX,20,12,8,6
BT5 4LY,46,17,29,23
BT5 4LZ,31,15,16,12
BT5 4NA,66,46,20,51
BT5 4NB,44,33,11,33
BT5 4ND,74,49,25,48
BT5 4NE,28,14,14,17
BT5 4NF,39,24,15,19
BT5 4NH,19,10,9,9
BT5 4NJ,25,11,14,9
BT5 4NL,18,7,11,8
BT5 4NN,121,64,57,42
BT5 4NR,59,27,32,30
BT5 4NS,48,21,27,23
BT5 4NT,34,16,18,16
BT5 4NU,81,45,36,28
BT5 4NW,41,16,25,16
BT5 4NX,35,18,17,20
BT5 4PA,124,62,62,51
BT5 4PE,73,39,34,28
BT5 4PF,115,43,72,39
BT5 4PS,8,6,2,6
BT5 4PU,40,23,17,20
BT5 4PX,48,25,23,19
BT5 4PY,22,12,10,9
BT5 4QB,37,16,21,19
BT5 4QD,10,6,4,6
BT5 4QF,95,41,54,35
BT5 4QG,41,23,18,18
BT5 4QH,73,38,35,37
BT5 4QJ,11,3,8,6
BT5 4QL,32,12,20,11
BT5 4QN,8,3,5,4
BT5 4QP,89,39,50,32
BT5 4QQ,13,8,5,6
BT5 4QR,84,40,44,29
BT5 4QT,42,21,21,21
BT5 4QU,41,16,25,19
BT5 4QW,29,16,13,14
BT5 4QX,54,27,27,24
BT5 4QY,80,42,38,39
BT5 4QZ,28,19,9,12
BT5 4RE,21,7,14,10
BT5 4RF,20,8,12,10
BT5 4RP,53,25,28,28
BT5 4RQ,16,7,9,5
BT5 4RR,39,20,19,20
BT5 4RS,42,21,21,16
BT5 4RU,28,11,17,12
BT5 4RW,*,*,*,*
BT5 4RX,21,14,7,15
BT5 4RY,15,7,8,11
BT5 4RZ,52,29,23,23
BT5 4SA,50,26,24,28
BT5 4SB,33,22,11,28
BT5 4SE,68,33,35,43
BT5 4SF,48,19,29,19
BT5 4SG,58,30,28,36
BT5 4SH,56,26,30,29
BT5 4SJ,43,18,25,30
BT5 4SL,90,46,44,51
BT5 4SN,64,30,34,31
BT5 4SP,91,45,46,49
BT5 4SQ,48,26,22,23
BT5 4SU,19,7,12,7
BT5 4SX,26,14,12,13
BT5 4SY,38,20,18,15
BT5 4SZ,57,24,33,29
BT5 4TA,19,12,7,10
BT5 4TB,87,45,42,40
BT5 4TD,23,14,9,9
BT5 4TE,44,15,29,16
BT5 4TF,30,12,18,13
BT5 4TG,41,20,21,17
BT5 4TH,35,15,20,16
BT5 4TJ,24,13,11,12
BT5 4TL,36,15,21,14
BT5 4TN,31,12,19,13
BT5 4TP,30,12,18,9
BT5 4TQ,40,22,18,21
BT5 4TR,13,4,9,5
BT5 4TS,17,5,12,5
BT5 4TT,20,8,12,9
BT5 4TU,20,8,12,10
BT5 4TW,63,30,33,18
BT5 4TX,38,14,24,15
BT5 4TY,40,21,19,12
BT5 4TZ,38,19,19,13
BT5 5AA,32,9,23,16
BT5 5AB,42,24,18,19
BT5 5AD,21,11,10,11
BT5 5AE,11,5,6,5
BT5 5AG,44,22,22,21
BT5 5AH,18,9,9,7
BT5 5AJ,65,28,37,26
BT5 5AL,36,18,18,17
BT5 5AS,81,40,41,44
BT5 5AT,48,19,29,24
BT5 5AU,75,39,36,40
BT5 5BA,96,44,52,51
BT5 5BB,80,42,38,40
BT5 5BE,65,38,27,29
BT5 5BG,41,17,24,22
BT5 5BH,32,13,19,20
BT5 5BJ,17,11,6,11
BT5 5BL,30,17,13,20
BT5 5BN,44,22,22,18
BT5 5BP,40,19,21,20
BT5 5BQ,34,17,17,19
BT5 5BS,51,23,28,29
BT5 5BT,71,36,35,24
BT5 5BU,49,22,27,29
BT5 5BW,29,14,15,20
BT5 5BX,12,5,7,8
BT5 5BY,59,30,29,36
BT5 5BZ,65,24,41,42
BT5 5DA,13,6,7,9
BT5 5DB,30,11,19,19
BT5 5DD,34,18,16,19
BT5 5DE,48,23,25,26
BT5 5DG,48,27,21,26
BT5 5DH,45,23,22,21
BT5 5DJ,31,16,15,12
BT5 5DS,34,14,20,24
BT5 5DU,30,18,12,11
BT5 5DW,*,*,*,*
BT5 5DY,49,26,23,25
BT5 5DZ,14,8,6,8
BT5 5EA,28,15,13,13
BT5 5EB,28,13,15,11
BT5 5EF,13,6,7,10
BT5 5EG,44,16,28,35
BT5 5EH,92,46,46,48
BT5 5EN,82,37,45,46
BT5 5EP,77,39,38,40
BT5 5EQ,23,11,12,11
BT5 5ER,73,36,37,30
BT5 5ES,19,8,11,8
BT5 5FF,68,36,32,43
BT5 5FG,34,17,17,18
BT5 5FH,12,5,7,6
BT5 5FL,41,20,21,18
BT5 5FP,11,7,4,7
BT5 5FR,*,*,*,*
BT5 5FS,*,*,*,*
BT5 5FY,67,35,32,35
BT5 5FZ,108,52,56,58
BT5 5GA,69,30,39,31
BT5 5GB,50,16,34,18
BT5 5GE,76,45,31,34
BT5 5GF,50,26,24,31
BT5 5GG,17,9,8,9
BT5 5GH,48,20,28,16
BT5 5GJ,53,33,20,31
BT5 5GP,80,45,35,41
BT5 5GQ,52,28,24,31
BT5 5GR,22,15,7,14
BT5 5GS,143,73,70,65
BT5 5GT,93,49,44,47
BT5 5GU,41,21,20,22
BT5 5GW,37,16,21,11
