Name,Code,All usual residents,Households
WARINGSFORD,N11000150, 176 , 73 
BELFAST CITY,N11000151, 280211 , 120341 
HANNAHSTOWN,N11000152, 164 , 65 
CARRICKFERGUS,N11000153, 27903 , 11536 
GREENISLAND,N11000154, 5484 , 2324 
KNOCKNAGULLIAGH,N11000155, 52 , 22 
TROOPERSLANE,N11000156, 84 , 37 
WHITEHEAD,N11000157, 3786 , 1633 
CARRYDUFF,N11000159, 6947 , 2574 
CROSSNACREEVY,N11000160, 317 , 133 
METROPOLITAN CASTLEREAGH,N11000162, 55783 , 23484 
MONEYREAGH,N11000163, 1379 , 516 
RYAN PARK,N11000164, 141 , 61 
ARTICLAVE,N11000165, 920 , 370 
BALLYTOBER,N11000167, 62 , 29 
BOLERAN,N11000168, 142 , 47 
BOVEEDY,N11000169, 72 , 29 
CASTLEROCK,N11000170, 1287 , 563 
CASTLEROE,N11000171, 470 , 179 
CLAREHILL,N11000172, 139 , 52 
COLERAINE,N11000173, 24630 , 9838 
CRAIGAVOLE,N11000174, 74 , 21 
DRUMAGARNER,N11000175, 59 , 21 
GARVAGH,N11000176, 1274 , 535 
GLENKEEN,N11000177, 86 , 33 
GLENULLIN,N11000178, 177 , 61 
KILREA,N11000179, 1679 , 667 
MACOSQUIN,N11000180, 614 , 247 
PORTBALLINTRAE,N11000182, 601 , 306 
PORTRUSH,N11000183, 6442 , 2821 
PORTSTEWART,N11000184, 8029 , 3345 
ARDBOE,N11000186, 687 , 215 
BALLINDERRY,N11000188, 345 , 113 
BALLYLIFFORD,N11000189, 135 , 41 
BALLYRONAN,N11000190, 568 , 204 
CHURCHTOWN,N11000191, 107 , 42 
COAGH,N11000192, 662 , 262 
COOKSTOWN,N11000193, 11620 , 4519 
DRAPERSFIELD,N11000196, 98 , 27 
DRUMMULLAN,N11000197, 174 , 63 
DUNMAN,N11000198, 53 , 20 
DUNNAMORE,N11000199, 119 , 35 
MONEYMORE,N11000203, 1897 , 730 
MOORTOWN,N11000204, 521 , 172 
ORRITOR,N11000205, 147 , 54 
POMEROY,N11000206, 789 , 306 
SANDHOLES,N11000207, 126 , 50 
STEWARTSTOWN,N11000208, 650 , 271 
THE LOUP,N11000209, 220 , 68 
THE ROCK,N11000210, 114 , 43 
TULLYHOGUE,N11000211, 193 , 81 
AGHAGALLON,N11000212, 1056 , 353 
BALLYMACMAINE,N11000213, 357 , 124 
BLACKSKULL,N11000215, 340 , 128 
BLEARY,N11000216, 1011 , 378 
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218, 64193 , 25710 
DERRYADD,N11000219, 132 , 44 
DERRYMACASH,N11000220, 695 , 221 
DERRYMORE,N11000221, 282 , 94 
DERRYTRASNA,N11000222, 365 , 117 
DOLLINGSTOWN,N11000223, 2126 , 800 
DONAGHCLONEY,N11000224, 1701 , 649 
DRUMNACANVY,N11000225, 999 , 365 
GAMLESTOWN,N11000226, 148 , 51 
GIBSON'S HILL,N11000227, 162 , 83 
MAGHERALIN,N11000228, 1337 , 530 
MAGHERY,N11000229, 183 , 71 
MILLTOWN (CO. ARMAGH),N11000230, 109 , 33 
MILLTOWN (CO. DOWN),N11000231, 123 , 40 
SCOTCH STREET,N11000232, 513 , 203 
TARTARAGHAN,N11000233, 51 , 21 
THE BIRCHES,N11000234, 319 , 127 
WARINGSTOWN,N11000235, 3647 , 1400 
ARDMORE,N11000236, 433 , 149 
BALLYRORY,N11000237, 68 , 25 
CAMPSEY,N11000238, 157 , 54 
CLAUDY,N11000240, 1336 , 503 
CULMORE,N11000242, 3466 , 1088 
DERRY CITY,N11000243, 83125 , 32232 
EGLINTON,N11000244, 3650 , 1304 
GOSHADEN,N11000245, 80 , 31 
KILLALOO,N11000246, 88 , 28 
KILLEA,N11000247, 167 , 52 
LETTERSHENDONEY,N11000248, 502 , 181 
MAYDOWN,N11000249, 506 , 177 
NEWBUILDINGS,N11000250, 2599 , 959 
NIXON'S CORNER,N11000251, 242 , 84 
PARK,N11000252, 509 , 170 
STRAIDARRAN,N11000253, 401 , 152 
STRATHFOYLE,N11000254, 2412 , 910 
TAMNAHERIN,N11000255, 251 , 72 
ANNACLOY,N11000257, 318 , 105 
ANNSBOROUGH,N11000258, 767 , 273 
ARDGLASS,N11000259, 1643 , 640 
BALLYALTON,N11000260, 132 , 49 
BALLYHORNAN,N11000261, 369 , 166 
BALLYKINLER,N11000262, 447 , 170 
BALLYNAHINCH,N11000263, 5715 , 2329 
BALLYNOE,N11000264, 169 , 57 
BRYANSFORD,N11000265, 306 , 114 
BURRENBRIDGE,N11000266, 199 , 78 
CASTLEWELLAN,N11000268, 2792 , 1026 
CLONVARAGHAN,N11000270, 186 , 67 
CLOUGH,N11000271, 279 , 105 
CONEY ISLAND,N11000272, 57 , 25 
CROSSGAR,N11000273, 1892 , 726 
DARRAGH CROSS,N11000274, 490 , 172 
DOWNPATRICK,N11000276, 10874 , 4192 
DRUMANESS,N11000278, 1344 , 497 
DRUMAROAD,N11000279, 183 , 62 
DUNDRUM,N11000280, 1551 , 665 
KILCLIEF,N11000281, 191 , 74 
KILCOO,N11000282, 335 , 122 
KILLOUGH,N11000283, 843 , 346 
KILLYLEAGH,N11000284, 2928 , 1196 
KILMORE (DOWN LGD),N11000285, 310 , 112 
