Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Maxwellheugh,"1,220",598,622,"1,220",-,16,68,17.96
Maybole,"4,760","2,261","2,499","4,730",30,38,141,33.71
Melrose,"2,307","1,082","1,225","2,263",44,42,146,15.84
Menstrie,"2,804","1,356","1,448","2,764",40,25,86,32.78
Methven,"1,094",534,560,"1,072",22,21,75,14.62
Millport,"1,275",618,657,"1,245",30,13,90,14.11
Milnathort,"1,890",859,"1,031","1,857",33,40,69,27.28
Milton and Kildary,619,316,303,619,-,3,40,15.58
Milton of Campsie,"3,889","1,824","2,065","3,792",97,22,110,35.27
Mintlaw,"2,721","1,306","1,415","2,720",1,26,144,18.85
Moffat,"2,582","1,209","1,373","2,535",47,45,155,16.67
Moniaive,487,224,263,486,1,2,53,9.25
Monkton,918,448,470,913,5,4,178,5.15
Montrose,"12,875","6,266","6,609","12,725",150,73,478,26.96
Moodiesburn,"6,895","3,294","3,601","6,895",-,21,141,48.79
Mossblown,"2,186","1,040","1,146","2,186",-,8,55,40.04
Mosstodloch,"1,022",503,519,"1,022",-,10,43,23.85
Muir of Ord,"2,555","1,271","1,284","2,527",28,23,210,12.18
Muirkirk,"1,528",737,791,"1,528",-,5,104,14.73
Muthill,747,353,394,719,28,8,38,19.74
Nairn,"9,773","4,646","5,127","9,566",207,123,438,22.29
Neilston,"5,321","2,565","2,756","5,321",-,17,126,42.08
Netherburn,743,370,373,743,-,1,51,14.64
Nethy Bridge,644,306,338,638,6,5,84,7.69
New Cumnock,"2,860","1,371","1,489","2,860",-,9,246,11.63
New Deer,641,317,324,641,-,4,27,23.7
New Pitsligo,"1,103",548,555,"1,103",-,4,40,27.82
New Scone,"4,886","2,283","2,603","4,832",54,66,179,27.28
Newburgh (Aberdeenshire),"1,436",717,719,"1,430",6,29,49,29.09
Newburgh and Burnside,"2,137","1,065","1,072","2,113",24,7,68,31.65
Newcastleton,768,379,389,763,5,7,36,21.21
Newmachar,"2,460","1,207","1,253","2,460",-,21,64,38.49
Newport-on-Tay and Wormit,"4,243","2,013","2,230","4,159",84,99,143,29.66
Newton Stewart,"4,092","1,970","2,122","4,001",91,45,181,22.58
Newtonhill,"2,982","1,466","1,516","2,982",-,31,84,35.6
Newtonmore,"1,094",514,580,"1,067",27,19,149,7.34
Newtown St Boswells,"1,279",630,649,"1,279",-,9,137,9.33
Newtyle,750,366,384,750,-,5,36,20.99
North Berwick,"6,605","3,145","3,460","6,455",150,177,342,19.3
North Kessock,921,437,484,921,-,20,70,13.15
North Queensferry,"1,076",528,548,"1,072",4,14,66,16.39
Oakley,"3,965","1,968","1,997","3,965",-,33,136,29.14
Oban,"8,574","4,182","4,392","8,313",261,89,416,20.59
Ochiltree,"1,046",495,551,"1,046",-,9,37,28.52
Oldmeldrum,"3,212","1,576","1,636","3,182",30,32,145,22.18
Ormiston,"2,079","1,021","1,058","2,079",-,17,51,40.43
Overtown,"3,341","1,699","1,642","3,341",-,6,67,49.84
Pathhead,982,485,497,982,-,3,23,42.14
Patna,"2,206","1,068","1,138","2,135",71,2,97,22.75
Peebles,"8,376","3,990","4,386","8,273",103,139,363,23.09
Pencaitland,"1,515",739,776,"1,515",-,33,67,22.45
Penicuik,"15,926","7,734","8,192","15,691",235,112,390,40.81
Perth,"46,970","22,902","24,068","45,647","1,323",422,"1,738",27.02
Peterculter,"7,136","3,471","3,665","6,791",345,124,495,14.41
Peterhead,"18,537","9,206","9,331","18,156",381,92,728,25.45
Pitlochry,"2,776","1,281","1,495","2,562",214,40,224,12.39
Pitmedden,"1,444",719,725,"1,444",-,19,40,36.35
Plean,"2,027",973,"1,054","1,982",45,5,68,29.74
Port Bannatyne,"1,210",576,634,"1,200",10,17,59,20.67
Port Ellen,846,413,433,846,-,17,51,16.71
Port William,523,244,279,522,1,4,26,19.92
Portgordon,844,422,422,844,-,8,38,21.99
Portknockie,"1,269",625,644,"1,267",2,14,55,23.12
Portlethen,"7,271","3,576","3,695","7,212",59,38,219,33.15
Portpatrick,534,256,278,534,-,4,55,9.77
