Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
KY5 8,"5,739","2,762","2,977","5,651",88,22,"1,142",5.03
KY5 9,"6,900","3,347","3,553","6,822",78,21,221,31.24
KY6 1,"4,542","2,148","2,394","4,514",28,10,148,30.71
KY6 2,"8,665","4,161","4,504","8,661",4,47,540,16.06
KY6 3 (part) Fife,"5,548","2,683","2,865","5,512",36,51,"2,191",2.53
KY6 3 (part) Perth & Kinross,91,45,46,91,-,5,579,0.16
KY7 4,"9,948","4,868","5,080","9,877",71,70,441,22.58
KY7 5,"4,832","2,327","2,505","4,646",186,40,263,18.39
KY7 6,"13,201","6,416","6,785","13,148",53,108,"3,595",3.67
KY8 1,"4,458","2,130","2,328","4,435",23,11,140,31.82
KY8 2,"5,240","2,472","2,768","5,240",-,12,172,30.5
KY8 3,"5,772","2,816","2,956","5,670",102,23,266,21.69
KY8 4,"6,513","3,082","3,431","6,398",115,33,341,19.09
KY8 5,"10,035","4,909","5,126","9,970",65,84,"6,591",1.52
KY8 6,"2,424","1,105","1,319","2,394",30,45,"1,000",2.42
KY9 1,"1,876",926,950,"1,854",22,31,"4,253",0.44
ML1 1,"5,550","2,687","2,863","5,546",4,15,179,30.96
ML1 2,"10,027","4,909","5,118","10,022",5,25,245,40.99
ML1 3,"14,383","6,887","7,496","14,246",137,37,896,16.05
ML1 4,"12,987","6,374","6,613","12,964",23,28,"1,777",7.31
ML1 5,"10,928","5,302","5,626","10,912",16,39,"1,795",6.09
ML10 6,"10,522","5,210","5,312","10,273",249,124,"20,117",0.52
ML11 0,"8,802","4,174","4,628","8,632",170,34,"25,111",0.35
ML11 7,"7,031","3,349","3,682","6,919",112,51,"1,909",3.68
ML11 8 (part) South Lanarkshire,"8,462","4,225","4,237","8,323",139,70,"22,404",0.38
ML11 9,"10,598","5,201","5,397","10,513",85,92,"9,710",1.09
ML12 6 (part) Dumfries & Galloway,150,76,74,150,-,-,380,0.39
ML12 6 (part) Scottish Borders,"1,130",564,566,"1,128",2,28,"29,973",0.04
ML12 6 (part) South Lanarkshire,"7,137","3,444","3,693","7,025",112,105,"62,653",0.11
ML2 0,"11,402","5,587","5,815","11,291",111,18,"1,241",9.19
ML2 7,"10,278","4,887","5,391","10,185",93,26,307,33.48
ML2 8,"12,359","5,928","6,431","12,227",132,28,257,48.01
ML2 9,"6,690","3,231","3,459","6,610",80,10,"2,483",2.69
ML3 0,"7,065","3,480","3,585","6,910",155,17,306,23.06
ML3 6,"5,962","2,887","3,075","5,908",54,9,217,27.51
ML3 7,"12,331","5,928","6,403","12,222",109,55,"3,801",3.24
ML3 8,"14,233","6,831","7,402","14,229",4,36,"1,231",11.57
ML3 9,"12,053","5,804","6,249","11,853",200,32,283,42.56
